14 45 91 18.078987268541567 0.000000000000005637580368897013 77 297 1
15 45 91 13.451358698587635 0.000000000004683874869703345 74 254 1
16 51 103 11.284932688451956 0.0000000000000096993365241931 32 179 1
17 52 105 14.05947943267913 0.0000000000000021074847034437195 44 214 1
18 56 113 13.13509807274258 0.0000000000005957943243046276 68 279 1
19 58 117 12.92462026792236 0.00000000003178983430219054 259 964 1
20 62 125 18.656812524395136 0.000000000049358514231696605 1210 4339 1
21 66 133 20.02585595996573 0.00000000001954810649597239 651 2229 1
22 70 141 33.66923528699418 0.0000000000088440395451651 2361 6559 1
23 75 151 222.5911125056995 0.000000000013162970310564342 2067 6057 1
24 79 159 16.324302518972075 0.0000000000032916626810552845 268 746 1
25 83 167 475.27343607913207 0.000000054466169787384156 3444 10000 1
26 86 173 16.57142414674836 0.0000000000009987427810211614 506 1476 1
27 90 181 18.64838488110501 0.00000000000000937291767938915 1008 2610 1
28 95 191 16.359420147987652 0.0000000000014807852686714371 267 504 1
29 99 199 18.048781779938924 0.0000000000002919348920278382 212 484 1
30 104 209 17.527032027655853 0.00000000000074525578633364 249 539 1
31 101 203 18.14134404457308 0.0000000000001698226571433538 725 1432 1
32 104 209 17.7368893590171 0.000000000008787375933795682 540 1106 1
33 108 217 20.990760575162998 0.0000000000022920818221736845 627 1240 1
34 119 239 15.084587586950502 0.00000000001290015177900757 260 472 1
35 121 243 23.73888217061475 0.0000006534876584468395 6112 10000 1
36 119 239 24.83075215562122 0.000000000006035010156426787 895 1496 1
37 122 245 20.6203491104877 0.00000000000014891829596059239 990 1531 1
38 126 253 24.192265705720725 0.000000000024642784634829845 1640 2659 1
39 136 273 19.11021067100151 0.000000000026952323352196465 470 757 1
40 136 273 22.608813939586586 0.0000000000054380002984693574 544 820 1
41 141 283 26.697020793081876 0.00000000005403163519314329 1942 2734 1
42 146 293 21.140782314549345 0.0000000000008396950967633925 425 556 1
43 159 319 29.55280255957209 0.000000000011989387782949673 2115 2678 1
44 152 305 26.23505189876942 0.00000000000007062582498961002 1362 1660 1
45 150 301 21.54566352233382 0.000000000039170330540822525 1303 1711 1
46 153 307 20.374764394897404 0.000000000009733556365428054 3529 4225 1
47 159 319 20.91585095298846 0.000000000007220423138710359 1169 1359 1
48 163 327 23.11509139466128 0.000000000013757115853321244 3297 3398 1
49 165 331 21.103192587871707 0.00000000006672505467402914 2089 2199 1
50 169 339 33.931316055721936 0.000000003749506582227768 10335 10000 1
51 174 349 27.759535360634715 0.0000000000007450439800864401 1552 1507 1
52 178 357 22.33898319847943 0.0000000000012784324114210215 756 732 1
53 182 365 24.962231053962718 0.0000000000010515942909031525 1332 1373 1
54 184 369 27.954309848520804 0.00000000003100181596609513 2200 2185 1
55 185 371 29.16848171365747 0.000000000030396040837540095 4850 4683 1
56 193 387 24.618929287057213 0.00000000001173924376277557 1268 1193 1
57 196 393 34.2277264455541 0.0000007748075164423764 10690 10000 1
58 241 483 22.945128845368334 0.000000000006504772921628643 1095 844 1
59 214 429 38.27381785387401 0.00000000003259957264082714 2873 2392 1
60 213 427 25.041197069301372 0.0000000000062052172115425 2111 1771 1
61 215 431 23.90748304129462 0.0000000000019038867335749492 1700 1355 1
62 213 427 25.683870262760763 0.0000000000029138546343897375 1205 998 1
63 223 447 28.98418044581809 0.000000000034315857551575 1972 1465 1
64 228 457 22.713097535408306 0.000000000031010466802893545 4209 3188 1
65 225 451 28.426312807806983 0.0000000000019733136401375897 2142 1608 1
66 228 457 28.721316008951938 0.00000000003728113230797801 4155 3024 1
67 246 493 25.82055571000431 0.000000000017953836075104734 870 567 1
68 235 471 29.115123154179006 0.000000000019738262772411717 5116 3564 1
69 240 481 27.24370098559696 0.00000000005346959264298373 5168 3471 1
70 244 489 25.040849683991265 0.00000000002085620087179653 3000 1968 1
71 248 497 29.04434210066849 0.000000000005004542062205467 2791 1841 1
72 251 503 32.865626553710584 0.0000000000047093163085359646 5549 3539 1
73 262 525 27.994488334865153 0.000000000004110178055906928 643 459 1
74 266 533 30.475978093547777 0.00000000000934324922464949 1622 1234 1
