1 1 3 6.281657599750417 0.0000000000028228342303910317 0 26 1
2 4 9 7.801872310760135 0.00000000000000020909919197758309 0 58 1
3 8 17 30.74981715147625 0.0000000000000002369473627902336 7 348 1
4 10 21 46.44808306088836 0.00000000000000022307837278542424 3 144 1
5 15 31 11.678942671729416 0.00000000000000007419384119222014 2 67 1
6 17 35 295.1134792704618 0.0000000000000008849076745203234 12 266 1
7 21 43 42.524542887787355 0.0000000000000005126329035114884 37 563 1
8 25 51 17.359827171723623 0.0000000000000006058961018969164 5 101 1
9 28 57 48.87879479152988 0.0000000000008050046196698799 77 1217 1
10 30 61 33.34231339988157 0.0000000000000029378113601547596 24 323 1
11 35 71 21.84983987495835 0.0000000000000004541656206552888 9 100 1
12 39 79 25.444263347990802 0.00000000000000032803191002916496 14 121 1
13 41 83 35.722808128721404 0.00000000000007729948445449786 52 407 1
14 45 91 35.57298812536726 0.0000000000000443299506240192 527 3539 1
15 47 95 32.51975705020446 0.000000000000011773896070566142 53 188 1
16 50 101 38.90218060077392 0.0000002951144211996724 4090 22212 1
17 53 107 38.95309569789911 0.000000000000002461292858316991 487 2241 1
18 58 117 49.439648598648574 0.00000000000000037383460156586105 1383 4455 1
19 63 127 27.631816808142204 0.0000000000000006435640094971064 30 114 1
20 66 133 47.827212251347646 0.0000000000000638785929386239 459 1171 1
21 68 137 51.66695364510835 0.0000000000009724498462045915 1533 4514 1
22 74 149 34.27688518364898 0.0000000000000003088590127514652 50 125 1
23 77 155 32.52732264463729 0.0000000000000001476957420836061 48 156 1
24 80 161 73.41020665714424 0.000000000000004047432801554553 733 1900 1
25 84 169 50.54858963512471 0.000000000000010072190673573013 560 1501 1
26 84 169 34.62603984371734 0.0000000000001406192548418651 346 879 1
27 86 173 52.953997384250314 0.0000006216886139938562 31928 72735 1
28 91 183 44.195750094099054 0.000000000022914450882775475 312 841 1
29 92 185 54.66227668514132 0.00000004418516222321747 2070 4427 1
30 96 193 49.74884959452439 0.00000000003190559746136069 971 2140 1
31 100 201 44.78844053106518 0.000000000030502859399463316 622 1319 1
32 105 211 35.18585666219172 0.00000000000948837170352894 533 1056 1
33 107 215 120.58303488173058 0.00000000009618592881891194 3659 6270 1
34 113 227 35.27245503460564 0.000000000000045429299754029044 254 456 1
35 118 237 96.52545071571835 0.00000000000527643579668993 3224 5258 1
36 121 243 44.27312473334144 0.00000000000512282115893175 835 1228 1
37 122 245 52.83468835445115 0.0000000000028270061553605123 1005 1720 1
38 128 257 122.65475287265332 0.00000000000232103800210545 67235 98616 1
39 131 263 47.050851225365896 0.0000000000011563552642913101 713 1059 1
40 139 279 39.00738989791009 0.00000000000021792569813134753 179 279 1
41 142 285 186.65379336341792 0.00000000014687924347917213 16949 22429 1
42 146 293 67.29951447931622 0.00000000002725992834576655 88242 107107 1
43 151 303 49.17372975055774 0.000000000002574927922787986 409 512 1
44 153 307 52.151240855027375 0.0000006395155870467731 45541 47627 1
45 156 313 82.52713822514205 0.00000000006414486076498966 28158 31220 1
46 160 321 150.51057564724468 0.0000000000000032477011194546747 14143 14741 1
47 164 329 73.85021144648826 0.0000000000005585723253347398 97140 101087 1
48 168 337 63.41249879371875 0.000000000018549230285924783 3836 4067 1
49 172 345 46.14097984821275 0.00000000000000883678341022856 446 455 1
50 176 353 45.90864022478111 0.00000000000000027193021786749487 339 366 1
51 179 359 88.58740217547259 0.000000000003994162282428833 14781 12902 1
52 176 353 66.9785747101244 0.00000000006111735100157199 5776 4764 1
53 181 363 47.734941315333984 0.000000000016821190492415354 902 749 1
54 184 369 65.21667370021548 0.000000000006839146491624473 5551 5048 1
